model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
2719,Not Fit,5,16,16,16,16,256,22,18206,9005.31578947369,48
2720,Not Fit,8,16,16,16,16,128,22,18206,9003,48
2718,Not Fit,11,16,16,16,16,64,22,18206,9001,48
37601,Not Fit,5,16,16,16,16,256,22,18206,9005,48
37602,Not Fit,8,16,16,16,16,128,22,18206,9003,48
37600,Not Fit,11,16,16,16,16,64,22,18206,9001,48
47869,Not Fit,5,16,16,16,16,256,22,18206,9005,48
47870,Not Fit,8,16,16,16,16,128,22,18206,9003,48
47868,Not Fit,11,16,16,16,16,64,22,18206,9001,48
37403,Fit,5,16,16,16,16,256,22,18206,9005,48
37404,Fit,8,16,16,16,16,128,22,18206,9003,48
37402,Fit,11,16,16,16,16,64,22,18206,9004,48
48484,Not Fit,5,16,16,16,16,256,22,18206,9005,48
48485,Not Fit,8,16,16,16,16,128,22,18206,9003,48
48483,Not Fit,11,16,16,16,16,64,22,18206,9004,48
41812,Fit,5,16,16,16,16,256,22,18206,9005,48
41813,Fit,8,16,16,16,16,128,22,18206,9003,48
41811,Fit,11,16,16,16,16,64,22,18206,9001,48
22664,Not Fit,5,16,16,16,16,256,22,18206,9005,48
22665,Not Fit,8,16,16,16,16,128,22,18206,9003,48
22663,Not Fit,11,16,16,16,16,64,22,18206,9001,48
8088,Fit,5,16,16,16,16,256,22,18206,9008,48
8089,Fit,8,16,16,16,16,128,22,18206,9003,48
8087,Fit,11,16,16,16,16,64,22,18206,9001,48
12656,Not Fit,5,16,16,16,16,256,22,18206,9005,48
12657,Not Fit,8,16,16,16,16,128,22,18206,9003,48
12655,Not Fit,11,16,16,16,16,64,22,18206,9001,48
8294,Not Fit,5,16,16,16,16,256,22,18206,9005,48
8295,Not Fit,8,16,16,16,16,128,22,18206,9003,48
8293,Not Fit,11,16,16,16,16,64,22,18206,9001,48
6954,Not Fit,5,16,16,16,16,256,22,18206,9005,48
6955,Not Fit,8,16,16,16,16,128,22,18206,9003,48
6953,Not Fit,11,16,16,16,16,64,22,18206,9001,48
38893,Not Fit,5,16,16,16,16,256,22,18206,9005,48
38894,Not Fit,8,16,16,16,16,128,22,18206,9003,48
38892,Not Fit,11,16,16,16,16,64,22,18206,9004,48
42524,Not Fit,5,16,16,16,16,256,22,18206,9005,48
42525,Not Fit,8,16,16,16,16,128,22,18206,9003,48
42523,Not Fit,11,16,16,16,16,64,22,18206,9001,48
38431,Fit,5,16,16,16,16,256,22,18206,9005,48
38432,Fit,8,16,16,16,16,128,22,18206,9003,48
